Reference;Planet name;Column 3
12182;Storm;Storm
24010;Stovall;Stovall
4876;Strabo;Strabo
1019;Strackea;Strackea
15766;Strahlenberg;Strahlenberg
170007;Strateva;Strateva
33634;Strickler;Strickler
768;Struveana;Struveana
58499;Stuber;"St&#252;ber"
13211;Stucky;Stucky
34215;Stutigarg;Stutigarg
13689;Succi;Succi
362793;Suetolson;Suetolson
34021;Suhanijain;Suhanijain
16163;Suhanli;Suhanli
33254;Sundaresakumar;Sundaresakumar
21109;Sunkel;"S&#252;nkel"
26612;Sunsetastro;Sunsetastro
185364;Sunweihsin;Sunweihsin
5455;Surkov;Surkov
4224;Susa;Susa
27492;Susanduncan;Susanduncan
21458;Susank;Susank
85014;Sutter;Sutter
31940;Sutthiluk;Sutthiluk
1927;Suvanto;Suvanto
262419;Suzaka;Suzaka
15671;Suzannedebarbat;"Suzanned&#233;barbat"
154006;Suzannehawley;Suzannehawley
12478;Suzukiseiji;Suzukiseiji
8871;Svanberg;Svanberg
329;Svea;Svea
54820;Svenders;Svenders
5093;Svirelia;Svirelia
9014;Svyatorichter;Svyatorichter
4046;Swain;Swain
31490;Swapnavdeka;Swapnavdeka
2168;Swope;Swope
100416;Syang;Syang
18783;Sychamberlin;Sychamberlin
28820;Sylrobertson;Sylrobertson
352333;Sylvievauclair;Sylvievauclair
134087;Symeonplatts;Symeonplatts
9973;Szpilman;Szpilman
17607;Taborsko;"T&#225;borsko"
3997;Taga;Taga
269232;Tahin;Tahin
40227;Tahiti;Tahiti
9947;Takaishuji;Takaishuji
5578;Takakura;Takakura
7263;Takayamada;Takayamada
7776;Takeishi;Takeishi
39686;Takeshihara;Takeshihara
6884;Takeshisato;Takeshisato
73936;Takeyamamoto;Takeyamamoto
17508;Takumadan;Takumadan
3151;Talbot;Talbot
4186;Tamashima;Tamashima
3417;Tamblyn;Tamblyn
5993;Tammydickinson;Tammydickinson
12602;Tammytam;Tammytam
28963;Tamyiu;Tamyiu
9032;Tanakami;Tanakami
825;Tanina;Tanina
31933;Tanyizhao;Tanyizhao
352148;Tarcisiozani;Tarcisiozani
27336;Mikequinn;Mikequinn
13514;Mikerudenko;Mikerudenko
1910;Mikhailov;Mikhailov
4067;Mikhel'son;Mikhel'son
10241;Milicevic;"Mili&#269;evi&#263;"
30991;Minenze;Minenze
184064;Miner;Miner
173032;Mingus;Mingus
58163;Minnesang;Minnesang
8403;Minorushimizu;Minorushimizu
4639;Minox;Minox
16218;Mintakeyes;Mintakeyes
8169;Mirabeau;Mirabeau
21526;Mirano;Mirano
34717;Mirkovilli;Mirkovilli
3262;Miune;Miune
22561;Miviscardi;Miviscardi
23259;Miwadagakuen;Miwadagakuen
19534;Miyagi;Miyagi
14902;Miyairi;Miyairi
4041;Miyamotoyohko;Miyamotoyohko
21016;Miyazawaseiroku;Miyazawaseiroku
134069;Miyo;Miyo
4541;Mizuno;Mizuno
7360;Moberg;Moberg
733;Mocia;Mocia
54810;Molleigh;Molleigh
428;Monachia;Monachia
100231;Monceau;Monceau
35316;Monella;Monella
3678;Mongmanwai;Mongmanwai
23490;Monikohl;Monikohl
7064;Montesquieu;Montesquieu
30938;Montmartre;Montmartre
11950;Morellet;Morellet
14914;Moreux;Moreux
224693;Morganfreeman;Morganfreeman
23821;Morganmonroe;Morganmonroe
16718;Morikawa;Morikawa
5521;Morpurgo;Morpurgo
2915;Moskvina;Moskvina
186832;Mosser;Mosser
20731;Mothediniz;"Moth&#233;diniz"
11927;Mount;Kent
12130;Mousa;Mousa
31910;Moustafa;Moustafa
23833;Mowers;Mowers
24602;Mozzhorin;Mozzhorin
232949;Muhina;Muhina
12362;Mumuryk;Mumuryk
6595;Munizbarreto;Munizbarreto
19453;Murdochorne;Murdochorne
26639;Murgas;"Murga&#353;"
941;Murray;Murray
3249;Musashino;Musashino
10749;Musaus;"Mus&#228;us"
1059;Mussorgskia;Mussorgskia
2385;Mustel;Mustel
6505;Muzzio;Muzzio
24148;Mychajliw;Mychajliw
34049;Myrelleangela;Myrelleangela
10000;Myriostos;Myriostos
53159;Myslivecek;"Myslive&#269;ek"
64070;NEAT;NEAT
32616;Nadinehan;Nadinehan
23638;Nagano;Nagano
4245;Nairc;Nairc
9228;Nakahiroshi;Nakahiroshi
110408;Nakajima;Nakajima
21036;Nakamurayoshi;Nakamurayoshi
1718;Namibia;Namibia
26441;Nanayakkara;Nanayakkara
20311;Nancycarter;Nancycarter
6899;Nancychabot;Nancychabot
27915;Nancywright;Nancywright
4243;Nankivell;Nankivell
13765;Nansmith;Nansmith
160493;Nantou;Nantou
13221;Nao;Nao
8463;Naomimurdoch;Naomimurdoch
8212;Naoshigetani;Naoshigetani
43859;Naoyayano;Naoyayano
31700;Naperez;Naperez
227326;Narodychi;Narodychi
23289;Naruhirata;Naruhirata
9107;Narukospa;Narukospa
94356;Naruto;Naruto
448;Natalie;Natalie
13234;Natashaowen;Natashaowen
32594;Nathandeng;Nathandeng
134019;Nathanmogk;Nathanmogk
28452;Natkondamuri;Natkondamuri
5520;Natori;Natori
26942;Nealkuhn;Nealkuhn
69264;Nebra;Nebra
3592;Nedbal;Nedbal
7108;Nefedov;Nefedov
5857;Neglinka;Neglinka
2462;Nehalennia;Nehalennia
34166;Neildeshmukh;Neildeshmukh
16000;Neilgehrels;Neilgehrels
28222;Neilpathak;Neilpathak
30141;Nelvenzon;Nelvenzon
20936;Nemrut;Dagi
95020;Nencini;Nencini
261110;Neoma;Neoma
2898;Neuvo;Neuvo
163640;Newberg;Newberg
28837;Nibalachandar;Nibalachandar
28442;Nicholashuey;Nicholashuey
68410;Nichols;Nichols
8914;Nickjames;Nickjames
4755;Nicky;Nicky
12928;Nicolapozio;Nicolapozio
6335;Nicolerappaport;Nicolerappaport
3284;Niebuhr;Niebuhr
18158;Nigelreuel;Nigelreuel
17909;Nikhilshukla;Nikhilshukla
23008;Rebeccajohns;Rebeccajohns
30325;Reesabpathak;Reesabpathak
29185;Reich;Reich
18092;Reinhold;Reinhold
29443;Remocorti;Remocorti
575;Renate;Renate
16781;Rencin;"Ren&#269;&#237;n"
54362;Restitutum;Restitutum
12776;Reynolds;Reynolds
21605;Reynoso;Reynoso
5689;Rhon;"Rh&#246;n"
879;Ricarda;Ricarda
10708;Richardspalding;Richardspalding
242830;Richardwessling;Richardwessling
51823;Rickhusband;Rickhusband
4327;Ries;Ries
19911;Rigaux;Rigaux
16766;Righi;Righi
9427;Righini;Righini
4635;Rimbaud;Rimbaud
23999;Rinner;Rinner
11334;Rio;de
107223;Ripero;Ripero
4090;Risehvezd;"&#344;&#237;&#353;ehv&#283;zd"
3466;Ritina;Ritina
10781;Ritter;Ritter
4871;Riverside;Riverside
13743;Rivkin;Rivkin
16421;Roadrunner;Roadrunner
12644;Robertwielinga;Robertwielinga
58365;Robmedrano;Robmedrano
8494;Edpatvega;Edpatvega
20460;Robwhiteley;Robwhiteley
96178;Rochambeau;Rochambeau
328477;Eckstein;Eckstein
31000;Rockchic;Rockchic
136743;Echigo;Echigo
673;Edda;Edda
232763;Eliewiesel;Eliewiesel
9356;Elineke;Elineke
215868;Rohrer;Rohrer
2058;Roka;"R&#243;ka"
22249;Dvorets;Pionerov
2231;Durrell;Durrell
3104;Durer;"D&#252;rer"
284996;Rosaparks;Rosaparks
13733;Dylanyoung;Dylanyoung
16243;Rosenbauer;Rosenbauer
425442;Eberstadt;Eberstadt
5039;Rosenkavalier;Rosenkavalier
18943;Elaisponton;Elaisponton
33539;Elenaberman;Elenaberman
8181;Rossini;Rossini
14973;Rossirosina;Rossirosina
1518;Rovaniemi;Rovaniemi
12581;Rovinj;Rovinj
18196;Rowberry;Rowberry
4550;Royclarke;Royclarke
5208;Royer;Royer
20174;Eisenstein;Eisenstein
8592;Rubetra;Rubetra
39420;Elizabethgaskell;Elizabethgaskell
120112;Elizabethacton;Elizabethacton
15118;Elizabethsears;Elizabethsears
15566;Elizabethbaker;Elizabethbaker
128327;Ericcarranza;Ericcarranza
35618;Tartu;Tartu
2603;Taylor;Taylor
4455;Ruriko;Ruriko
11955;Russrobb;Russrobb
28599;Terenzoni;Terenzoni
8336;Safarik;"&#352;afa&#345;&#237;k"
5546;Salavat;Salavat
33466;Thomaslarson;Thomaslarson
22146;Samaan;Samaan
52604;Thomayer;Thomayer
3147;Samantha;Samantha
20686;Thottumkara;Thottumkara
28433;Samarquez;Samarquez
9963;Sandage;Sandage
219;Thusnelda;Thusnelda
30330;Tiffanysun;Tiffanysun
9013;Sansaturio;Sansaturio
22161;Santagata;Santagata
4961;Timherder;Timherder
24240;Tinagal;Tinagal
7544;Tipografiyanauka;Tipografiyanauka
28107;Sapar;Sapar
73453;Ninomanfredi;Ninomanfredi
3935;Toatenmongakkai;Toatenmongakkai
18918;Nishashah;Nishashah
10500;Nishi-koen;Nishi-koen
7648;Tomboles;Tomboles
2124;Nissen;Nissen
29690;Nistala;Nistala
5992;Nittler;Nittler
4213;Njord;Njord
7001;Noether;Noether
19612;Noordung;Noordung
25152;Toplis;Toplis
10319;Toshiharu;Toshiharu
4720;Tottori;Tottori
215592;Normarose;Normarose
6131;Towen;Towen
25766;Nosarzewski;Nosarzewski
25375;Treenajoi;Treenajoi
3157;Novikov;Novikov
1206;Numerowia;Numerowia
37706;Trinchieri;Trinchieri
21753;Trudel;Trudel
17969;Truong;Truong
16563;Ob;Ob
6293;Oberpfalz;Oberpfalz
20574;Ochinero;Ochinero
7343;Ockeghem;Ockeghem
13918;Tsukinada;Tsukinada
16583;Oersted;Oersted
3614;Tumilty;Tumilty
12221;Ogatakoan;Ogatakoan
4054;Turnov;Turnov
14486;Tuscia;Tuscia
9062;Ohnishi;Ohnishi
4801;Ohre;"Oh&#345;e"
8912;Ohshimatake;Ohshimatake
30184;Okasinski;Okasinski
42614;Ubaldina;Ubaldina
9657;Ucka;"U&#269;ka"
8498;Ufa;Ufa
2112;Ulyanov;Ulyanov
37749;Umbertobonori;Umbertobonori
12868;Onken;Onken
1397;Umtata;Umtata
23564;Ungaretti;Ungaretti
12360;Unilandes;Unilandes
23744;Ootsubo;Ootsubo
24529;Urbach;Urbach
31349;Uria-Monzon;Uria-Monzon
11711;Urquiza;Urquiza
12576;Oresme;Oresme
34424;Utashima;Utashima
21125;Orff;Orff
20155;Utewindolf;Utewindolf
1282;Utopia;Utopia
2329;Orthos;Orthos
10649;VOC;VOC
3593;Osip;Osip
10259;Osipovyurij;Osipovyurij
25636;Vaishnav;Vaishnav
1369;Ostanina;Ostanina
7113;Ostapbender;Ostapbender
611;Valeria;Valeria
335853;Valleedaoste;"Vall&#233;edaoste"
225076;Vallemare;Vallemare
35239;Ottoseydl;Ottoseydl
15608;Owens;Owens
17980;Vanschaik;Vanschaik
33680;Vasconcelos;Vasconcelos
17163;Vasifedoseev;Vasifedoseev
1889;Pakhmutova;Pakhmutova
1598;Paloque;Paloque
4450;Pan;Pan
347028;Vazec;Vazec
177659;Paolacel;Paolacel
27320;Vellinga;Vellinga
4366;Venikagan;Venikagan
259344;Pare;"Par&#233;"
27244;Parthasarathy;Parthasarathy
11;Parthenope;Parthenope
2331;Parvulesco;Parvulesco
24015;Pascalepinner;Pascalepinner
18009;Patrickgeer;Patrickgeer
1791;Patsayev;Patsayev
10934;Pauldelvaux;Pauldelvaux
24450;Victorchang;Victorchang
44192;Paulguttman;Paulguttman
21622;Victorshia;Victorshia
26493;Paulsucala;Paulsucala
6151;Viget;Viget
14574;Payette;Payette
7856;Viktorbykov;Viktorbykov
14595;Peaker;Peaker
32226;Vikulgupta;Vikulgupta
13251;Viot;Viot
8759;Porzana;Porzana
6102;Visby;Visby
18830;Pothier;Pothier
16689;Vistula;Vistula
19420;Vivekbuch;Vivekbuch
4889;Praetorius;Praetorius
2367;Praha;Praha
19504;Vladalekseev;Vladalekseev
22254;Vladbarmin;Vladbarmin
4858;Vorobjov;Vorobjov
6467;Prilepina;Prilepina
162001;Vulpius;Vulpius
3159;Prokof'ev;Prokof'ev
;"name=""W"">";-4299
52228;Protos;Protos
5932;Prutkov;Prutkov
8356;Wadhwa;Wadhwa
5011;Ptah;Ptah
7627;Wakenokiyomaro;Wakenokiyomaro
8763;Pugnax;Pugnax
252470;Puigmarti;Puigmarti
1417;Walinskia;Walinskia
13063;Purifoy;Purifoy
1946;Walraven;Walraven
11832;Pustylnik;Pustylnik
4266;Waltari;Waltari
;"name=""Q"">(199947)";Qaidam
22998;Waltimyer;Waltimyer
2255;Qinghai;Qinghai
20778;Wangchaohao;Wangchaohao
58098;Quirrenbach;Quirrenbach
3171;Wangshouguan;Wangshouguan
18698;Racharles;Racharles
18593;Wangzhongcheng;Wangzhongcheng
23754;Rachnareddy;Rachnareddy
1645;Waterfield;Waterfield
2581;Radegast;Radegast
13880;Wayneclark;Wayneclark
4485;Radonezhskij;Radonezhskij
13531;Weizsacker;"Weizs&#228;cker"
6485;Wendeesther;Wendeesther
31664;Randiiwessen;Randiiwessen
19470;Wenpingchen;Wenpingchen
6440;Ransome;Ransome
226;Weringia;Weringia
24697;Rastrelli;Rastrelli
21989;Werntz;Werntz
5266;Rauch;Rauch
2017;Wesson;Wesson
29674;Rausal;"Rau&#353;al"
17612;Whiteknight;Whiteknight
22740;Rayleigh;Rayleigh
2301;Whitford;Whitford
20474;Reasoner;Reasoner
4346;Whitney;Whitney
27551;Pelayo;Pelayo
1941;Wild;Wild
12227;Penney;Penney
4826;Wilhelms;Wilhelms
34258;Pentland;Pentland
16797;Wilkerson;Wilkerson
448051;Pepisensi;Pepisensi
31507;Williamjin;Williamjin
554;Peraga;Peraga
13730;Willis;Willis
22434;Peredery;Peredery
13908;Wolbern;"W&#246;lbern"
10969;Perryman;Perryman
8316;Wolkenstein;Wolkenstein
30724;Peterburgtrista;Peterburgtrista
1765;Wrubel;Wrubel
24333;Petermassey;Petermassey
3987;Wujek;Wujek
17799;Petewilliams;Petewilliams
5904;Wurttemberg;"W&#252;rttemberg"
50413;Petrginz;Petrginz
;"name=""X"">";-15171
21087;Petsimpallas;Petsimpallas
16319;Xiamenerzhong;Xiamenerzhong
24663;Philae;Philae
9832;Xiaobinwang;Xiaobinwang
30386;Philipjeffery;Philipjeffery
204836;Xiexiaosi;Xiexiaosi
1000;Piazzia;Piazzia
90826;Xuzhihong;Xuzhihong
46720;Pierostroppa;Pierostroppa
117568;Yadame;Yadame
274472;Pieta;"Piet&#224;"
9869;Yadoumaru;Yadoumaru
177;Irma;Irma
1178;Irmela;Irmela
8143;Nezval;Nezval
7842;Ishitsuka;Ishitsuka
18994;Nhannguyen;Nhannguyen
6168;Isnello;Isnello
30197;Nickbadyrka;Nickbadyrka
183;Istria;Istria
170395;Nicolevogt;Nicolevogt
7852;Itsukushima;Itsukushima
14567;Nicovincenti;Nicovincenti
12978;Ivashov;Ivashov
8751;Nigricollis;Nigricollis
126780;Ivovasiljev;Ivovasiljev
27495;Heatherfennell;Heatherfennell
71783;Izeryna;Izeryna
108;Hecuba;Hecuba
26424;Jacquelihung;Jacquelihung
2521;Heidi;Heidi
176884;Jallynsmith;Jallynsmith
2379;Heiskanen;Heiskanen
27449;Jamarkley;Jamarkley
85095;Hekla;Hekla
2634;James;Bradley
29250;Helmutmoritz;Helmutmoritz
32609;Jamesfagan;Jamesfagan
826;Henrika;Henrika
197196;Jamestaylor;Jamestaylor
9931;Herbhauptman;Herbhauptman
27314;Janemcdonald;Janemcdonald
33704;Herinkang;Herinkang
10586;Jansteen;Jansteen
685;Hermia;Hermia
4114;Jasnorzewska;Jasnorzewska
24168;Hexlein;Hexlein
38019;Jeanmariepelt;Jeanmariepelt
185577;Hhaihao;Hhaihao
7376;Jefftaylor;Jefftaylor
6345;Hideo;Hideo
26275;Jefsoulier;Jefsoulier
90953;Hideosaitou;Hideosaitou
125718;Jemasalomon;Jemasalomon
39726;Hideyukitezuka;Hideyukitezuka
24999;Hieronymus;Hieronymus
20862;Jenngoedhart;Jenngoedhart
18970;Jenniharper;Jenniharper
153;Hilda;Hilda
12352;Jepejacobsen;Jepejacobsen
19500;Hillaryfultz;Hillaryfultz
13127;Jeroenbrouwers;Jeroenbrouwers
1999;Hirayama;Hirayama
18956;Jessicarnold;Jessicarnold
73704;Hladiuk;Hladiuk
27417;Jessjohnson;Jessjohnson
3225;Hoag;Hoag
4760;Jia-xiang;Jia-xiang
21047;Hodierna;Hodierna
28607;Jiayipeng;Jiayipeng
180857;Hofigeza;"Hofig&#233;za"
33222;Gillingham;Gillingham
14835;Holdridge;Holdridge
204896;Giorgiobocca;Giorgiobocca
10105;Holmhallar;"Holmh&#228;llar"
492;Gismonda;Gismonda
233893;Honthyhanna;Honthyhanna
5062;Glennmiller;Glennmiller
3134;Kostinsky;Kostinsky
20334;Glewitsky;Glewitsky
3914;Kotogahama;Kotogahama
5861;Glynjones;Glynjones
5591;Koyo;Koyo
5074;Goetzoertel;Goetzoertel
3040;Kozai;Kozai
5393;Goldstein;Goldstein
13055;Kreppein;Kreppein
22909;Gongmyunglee;Gongmyunglee
301638;Kressin;Kressin
4654;Gor'kavyj;Gor'kavyj
167875;Kromminga;Kromminga
90579;Gordonnelson;Gordonnelson
18412;Kruszelnicki;Kruszelnicki
3818;Gorlitsa;Gorlitsa
31375;Krystufek;Krystufek
22402;Goshi;Goshi
7472;Kumakiri;Kumakiri
7189;Kuniko;Kuniko
9257;Kunisuke;Kunisuke
1710;Gothard;Gothard
6847;Kunz-Hallstein;Kunz-Hallstein
6948;Gounelle;Gounelle
24794;Kurland;Kurland
175730;Gramastetten;Gramastetten
3154;Grant;Grant
12752;Kvarnis;Kvarnis
28760;Grantwomble;Grantwomble
3331;Kvistaberg;Kvistaberg
27291;Greghansen;Greghansen
4646;Kwee;Kwee
14345;Gritsevich;Gritsevich
29125;Kyivphysfak;Kyivphysfak
13278;Grotecloss;Grotecloss
4352;Kyoto;Kyoto
26800;Gualtierotrucco;Gualtierotrucco
10211;La;Spezia
33335;Guibert;Guibert
120;Lachesis;Lachesis
241276;Guntramlampert;Guntramlampert
2875;Lagerkvist;Lagerkvist
6679;Gurzhij;Gurzhij
32044;Lakmazaheri;Lakmazaheri
317715;Guydetienne;Guydetienne
64288;Lamchiuying;Lamchiuying
23758;Guyuzhou;Guyuzhou
6892;Lana;Lana
444;Gyptis;Gyptis
13052;Las;Casas
15577;Gywilliams;Gywilliams
6658;Akiraabe;Akiraabe
30188;Hafsasaeed;Hafsasaeed
29747;Acorlando;Acorlando
135268;Haignere;"Haigner&#233;"
446;Aeternitas;Aeternitas
5028;Halaesus;Halaesus
3862;Agekian;Agekian
7917;Hammergren;Hammergren
3067;Akhmatova;Akhmatova
23504;Haneda;Haneda
24121;Achandran;Achandran
4664;Hanner;Hanner
5547;Acadiau;Acadiau
295565;Hannover;Hannover
28950;Ailisdooner;Ailisdooner
19913;Aigyptios;Aigyptios
2573;Hannu;Olavi
92097;Aidai;Aidai
11245;Hansderijk;Hansderijk
7418;Akasegawa;Akasegawa
12134;Hansfriedeman;Hansfriedeman
8046;Ajiki;Ajiki
190139;Hanskung;"Hansk&#252;ng"
25638;Ahissar;Ahissar
192155;Hargittai;Hargittai
44117;Haroldlarson;Haroldlarson
24898;Alanholmes;Alanholmes
185560;Harrykroto;Harrykroto
8969;Alexandrinus;Alexandrinus
6423;Harunasan;Harunasan
13704;Aletesi;Aletesi
2853;Harvill;Harvill
80652;Albertoangela;Albertoangela
11265;Hasselmann;Hasselmann
8439;Albellus;Albellus
2340;Hathor;Hathor
58682;Alenasolcova;"Alena&#353;olcov&#225;"
9305;Hazard;Hazard
26533;Aldering;Aldering
10416;Kottler;Kottler
2941;Alden;Alden
76628;Kozi;Hradek
19524;Acaciacoleman;Acaciacoleman
2536;Kozyrev;Kozyrev
15559;Abigailhines;Abigailhines
8682;Kraklingbo;"Kr&#228;klingbo"
25422;Abigreene;Abigreene
7694;Krasetin;"Kraset&#237;n"
28829;Abelsky;Abelsky
235621;Kratochvile;"Kratochv&#237;le"
3277;Aaronson;Aaronson
6597;Kreil;Kreil
24130;Alexhuang;Alexhuang
5285;Krethon;Krethon
8549;Alcide;Alcide
19008;Kristibutler;Kristibutler
7671;Albis;Albis
30302;Kritilall;Kritilall
21497;Alicehine;Alicehine
239307;Kruchynenko;Kruchynenko
2282;Andres;Bello
32734;Kryukov;Kryukov
7959;Alysecherri;Alysecherri
6866;Kukai;Kukai
3581;Alvarez;Alvarez
75829;Alyea;Alyea
31597;Allisonmarie;Allisonmarie
21801;Ancerl;"An&#269;erl"
3613;Kunlun;Kunlun
27413;Ambruster;Ambruster
9528;Kuppers;"K&#252;ppers"
4578;Kurashiki;Kurashiki
986;Amelia;Amelia
7436;Kuroiwa;Kuroiwa
176866;Kuropatkin;Kuropatkin
16602;Anabuki;Anabuki
23938;Kurosaki;Kurosaki
32062;Amolpunjabi;Amolpunjabi
33011;Kurtiscarsch;Kurtiscarsch
26414;Amychyao;Amychyao
12100;Amiens;Amiens
17260;Kusnirak;"Ku&#353;nir&#225;k"
229255;Andrewelliott;Andrewelliott
102211;Angelofaggiano;Angelofaggiano
20643;Angelicaliu;Angelicaliu
1712;Angola;Angola
300932;Kyslyuk;Kyslyuk
32296;Aninsayana;Aninsayana
570;Kythera;Kythera
118401;LINEAR;LINEAR
13560;La;Perouse
145962;Lacchini;Lacchini
2832;Lada;Lada
291847;Ladoix;Ladoix
19397;Lagarini;Lagarini
18602;Lagillespie;Lagillespie
11100;Lai;Lai
21672;Laichunju;Laichunju
25428;Lakhanpal;Lakhanpal
9136;Lalande;Lalande
2861;Lambrecht;Lambrecht
14846;Lampedusa;Lampedusa
30847;Lampert;Lampert
1767;Lampland;Lampland
73699;Landaupfalz;Landaupfalz
22167;Lane-Cline;Lane-Cline
183294;Langbroek;Langbroek
12279;Laon;Laon
2912;Lapalma;Lapalma
1819;Laputa;Laputa
22599;Heatherhall;Heatherhall
19156;Heco;Heco
207;Hedda;Hedda
15050;Heddal;Heddal
220229;Hegedus;"Heged&#252;s"
322510;Heinrichgruber;"Heinrichgr&#252;ber"
4290;Heisei;Heisei
949;Hel;Hel
123818;Helenzier;Helenzier
522;Helga;Helga
30942;Helicaon;Helicaon
1075;Helina;Helina
895;Helio;Helio
967;Helionape;Helionape
26301;Hellawillis;Hellawillis
11573;Helmholtz;Helmholtz
183635;Helmi;Helmi
1495;Helsinki;Helsinki
801;Helwerthia;Helwerthia
21449;Hemmick;Hemmick
33529;Henden;Henden
121479;Hendershot;Hendershot
10021;Henja;Henja
12643;Henkolthof;Henkolthof
20589;Hennyadmoni;Hennyadmoni
1516;Henry;Henry
458;Hercynia;Hercynia
3099;Hergenrother;Hergenrother
3234;Hergiani;Hergiani
27984;Herminefranz;Herminefranz
121;Hermione;Hermione
